id,name_cn,rank,total,total_score,prob_score,simp_score,conf_score
1026,蔷薇少女 梦之终结,1484,2274,115878,2225.8165,3610,15560.9284
1027,舞-HiME,1352,1603,95915,2218.8213,3893,14036.9296
1028,舞-乙HiME,2829,1075,-39075,703.0691,1052,1043.5301
1029,悠久之翼2,175,4173,738147,4459.5507,6946,47707.7474
1030,翼神传说,724,1219,161871,3271.2001,5552,21287.5055
1037,泰坦尼亚,4593,208,-31327,-635.3635,-1216,-4285.128
1038,超智游戏,380,1351,269417,4146.1577,6264,29765.751
1040,超级无敌掌门狗：月球野餐记,1509,103,2526,337.2363,638,1028.5398
1044,传颂之物,1447,2319,146241,2328.1148,3971,17235.1437
1064,秀逗魔导士EVOLUTION-R,3344,481,-1490,-95.7323,-173,-373.3589
1077,Kanon,4196,686,-80506,-446.7246,-850,-6096.1902
1103,零之使魔 双月骑士,2845,3920,-143818,895.1829,1561,1733.201
1104,机器人总动员,116,4791,721544,5295.7078,7261,52310.7403
1109,Fresh 光之美少女！,1291,271,25539,1233.2787,2297,5533.1431
1120,地狱少女 三鼎,2174,1728,3757,1394.6439,2488,6957.4801
1131,明日的与一,6273,935,-233741,-1838.6923,-3212,-18527.0141
1140,不可思议的教室,659,932,345,28.2908,65,98.4029
1147,ZEGAPAIN,971,449,70227,2238.1179,3737,11980.407
1171,东方梦想夏乡,629,1795,208699,3303.4273,5256,23418.7841
1182,空罐少女,7108,960,-315788,-2885.0736,-4789,-26670.8155
1194,铁腕巴迪 DECODE 第二季,1653,329,50044,2060.4268,3696,9886.9921
1219,现视研2,403,2067,431170,4446.3367,6523,38135.2803
1220,现视研 OVA,816,1288,218274,3541.0472,5454,25329.5936
1257,记忆女神的女儿们,3146,1504,-46800,862.4154,1616,2244.6947
1260,地狱少女,1497,3563,178007,2588.8726,4512,20854.1382
1261,地狱少女 二笼,1249,2184,139300,2448.3053,4139,17627.5312
1262,魔法少女奈叶,1118,2688,222487,2756.5513,4632,22372.3194
1263,魔法少女奈叶A's,458,2348,364539,3499.2542,5809,30866.0306
1264,魔法少女奈叶StrikerS,1226,1836,125755,2062.0536,3675,14840.0853
1265,杀戮公主,5574,571,-112712,-1017.9256,-1935,-10088.8968
1266,交响诗篇,188,3200,577062,4735.7243,7044,44652.7965
1267,王牌投手 振臂高挥,155,1777,280754,4112.8371,6210,30056.5393
1269,水星领航员 第二季,98,1822,452445,4781.6251,7085,40491.0966
1270,水星领航员 第三季,26,1929,521725,5242.0034,7255,45130.4741
1271,夕阳染红的街道,5791,1889,-346339,-1346.3325,-2476,-19249.1756
1272,竹刀少女,1660,1112,65028,2010.7395,3374,11377.2306
1273,BLUE DROP 天使们的戏曲,3779,277,-27075,-308.2041,-582,-2962.0226
1274,武装炼金,5357,405,-77635,-849.1995,-1530,-7796.7965
1275,我们的存在,1965,842,17790,1267.0891,2429,5799.3617
1306,水晶之焰,6976,95,-42652,-1986.9039,-2755,-8950.8156
1307,星际海盗,5226,92,-27133,-1045.1896,-1815,-5156.0728
1308,龙鸣,7277,274,-99074,-2556.5182,-3943,-14885.5984
1309,初音岛II,4156,763,-85767,-243.3662,-387,-5322.2548
1310,初音岛II,4156,763,-319,-22.0414,-45,-83.4828
1314,下一站巨星,1293,880,57014,1773.9689,3127,9826.9483
1321,圣母在上 第4季,411,679,142564,3068.71,5057,19207.9114
1326,寒蝉鸣泣之时 礼,1582,3192,159334,2485.9492,4137,19889.3334
1333,剧场版 空之境界 第五章 矛盾螺旋,58,8090,1552784,5561.4216,7537,76114.5062
1372,凉宫春日酱的忧郁,893,3830,216254,2798.8939,4767,23010.4234
1373,监狱兔 第一季,288,3213,240679,3566.0234,5886,26383.1442
1375,骑士战场,6986,327,-128472,-2754.2493,-4369,-17321.5807
1377,海猫鸣泣之时,4864,3040,-288481,-434.4437,-779,-11275.44
1396,绝对冲击,7616,267,-163410,-4080.2848,-5460,-24160.5009
1415,草莓100%,4333,1060,-100368,146.5376,125,-3959.6561
1418,MADLAX,2578,376,-16622,240.1328,396,-326.5355
1419,飞篮扣杀,3822,275,-30276,-404.3825,-748,-3440.8863
1420,潘多拉之心,3287,2463,-165137,147.0258,235,-4781.4897
1421,战场女武神,4490,1151,-127898,-344.2991,-649,-7200.8293
1423,花冠之泪,4756,591,-84983,-536.2518,-1076,-6742.3469
1424,轻音少女,174,15813,1698367,4482.1093,6837,70590.3977
1426,幻灵镇魂曲,1260,2167,157603,2335.9717,4304,17501.1457
1427,旋风管家 第二季,1269,2616,172723,2500.479,3989,18869.8482
1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,15937,2406020,6055.4228,7650,96469.5575
1429,战国BASARA,3198,1270,-96315,-86.6443,-176,-4664.1493
1434,女皇之刃 流浪的战士,5224,801,-144562,-1090.1943,-2161,-11668.1219
1436,机巧魔神,4978,612,-100461,-702.5986,-1327,-8181.5091
1442,神曲奏界Polyphonica crimson S,5936,463,-105162,-1439.14,-2524,-11300.277
1443,四叶游戏,226,1029,191881,3699.2112,5620,23962.6365
1444,天才麻将少女,777,4828,499648,3399.9647,5738,35330.5797
1445,香格里拉,5061,665,-97327,-738.4671,-1391,-8025.225
1450,初恋限定。,2290,1070,1805,1053.3242,1795,4463.5409
