id,name_cn,rank,total
1120,地狱少女 三鼎,2174,1728
1131,明日的与一,6273,935
1140,不可思议的教室,659,932
1147,ZEGAPAIN,971,449
1171,东方梦想夏乡,629,1795
1182,空罐少女,7108,960
1194,铁腕巴迪 DECODE 第二季,1653,329
1219,现视研2,403,2067
1220,现视研 OVA,816,1288
1257,记忆女神的女儿们,3146,1504
1260,地狱少女,1497,3563
1261,地狱少女 二笼,1249,2184
1262,魔法少女奈叶,1118,2688
1263,魔法少女奈叶A's,458,2348
1264,魔法少女奈叶StrikerS,1226,1836
1265,杀戮公主,5574,571
1266,交响诗篇,188,3200
1267,王牌投手 振臂高挥,155,1777
1269,水星领航员 第二季,98,1822
1270,水星领航员 第三季,26,1929
1271,夕阳染红的街道,5791,1889
1272,竹刀少女,1660,1112
1273,BLUE DROP 天使们的戏曲,3779,277
1274,武装炼金,5357,405
1275,我们的存在,1965,842
1306,水晶之焰,6976,95
1307,星际海盗,5226,92
1308,龙鸣,7277,274
1309,初音岛II,4156,763
1310,初音岛II,4156,763
1314,下一站巨星,1293,880
1321,圣母在上 第4季,411,679
1326,寒蝉鸣泣之时 礼,1582,3192
1333,剧场版 空之境界 第五章 矛盾螺旋,58,8090
1372,凉宫春日酱的忧郁,893,3830
1373,监狱兔 第一季,288,3213
1375,骑士战场,6986,327
1377,海猫鸣泣之时,4864,3040
1396,绝对冲击,7616,267
1415,草莓100%,4333,1060
1418,MADLAX,2578,376
1419,飞篮扣杀,3822,275
1420,潘多拉之心,3287,2463
1421,战场女武神,4490,1151
1423,花冠之泪,4756,591
1424,轻音少女,174,15813
1426,幻灵镇魂曲,1260,2167
1427,旋风管家 第二季,1269,2616
1428,钢之炼金术师 FULLMETAL ALCHEMIST,11,15937
1429,战国BASARA,3198,1270
1434,女皇之刃 流浪的战士,5224,801
1436,机巧魔神,4978,612
1442,神曲奏界Polyphonica crimson S,5936,463
1443,四叶游戏,226,1029
1444,天才麻将少女,777,4828
1445,香格里拉,5061,665
1450,初恋限定。,2290,1070
1451,东之伊甸,751,4490
1452,豹头王传说,1878,316
1453,少女革命,53,3360
1454,夏之岚!,1566,853
1455,钢壳都市雷吉欧斯,5658,825
1456,兽之奏者艾琳,1494,201
1461,虫之歌,4749,769
1466,七鬼神,4392,900
1467,胡子小鸡,2100,561
1486,圣斗士星矢 极乐净土篇,3428,504
1487,樱兰高校男公关部,654,4115
1505,天堂餐馆,1650,487
1506,飞篮扣杀,3822,275
1507,花冠之泪,4756,591
1510,美少女战士,1188,1411
1511,甜甜私房猫,858,861
1512,狼与香辛料 第二季,405,5514
1515,玩偶游戏,1023,199
1529,伊里野的天空、UFO的夏天,1377,1239
1531,奇幻贵公子,1927,949
1533,异世界的圣机师物语,2984,423
1545,鹤屋和熏干酪,3675,1415
1547,十兵卫 心形眼罩的秘密,2284,187
1583,电影少女,1840,272
1593,阿拉德战记 Slap-up Party,7148,636
1600,死神,2108,3536
1605,游魂 -Kiss on my Deity-,6299,824
1606,凉宫春日的忧郁 2009,224,11553
1607,吸血鬼猎人D：妖杀行,246,1600
1608,灌篮高手,20,7214
1609,游戏王5D's,366,1355
1617,不可思议的教室,659,932
1618,阿拉德战记 Slap-up Party,7148,636
1625,海马,196,1606
1638,雨月,4696,367
1639,变形金刚,692,268
1650,你所期望的永远,1590,1191
1671,化物语,79,15211
1688,铁马少年,1579,175
1703,纯情罗曼史,1542,1247
1704,猎人,67,3665
1707,云之彼端，约定的地方,1600,3888
1728,浪客剑心 追忆篇,8,5683
1729,GA 艺术科美术设计班,1679,739
1730,简单易懂的现代魔法,6459,887
1731,大正野球娘。,2524,491
1737,传颂之物 OVA,3656,700
1739,魔力充电娘,6541,497
1740,海物语～有你陪伴～,5493,481
1741,黑塔利亚 第2期,776,1838
1742,忏・再见绝望先生,448,2201
1743,东京地震8.0,1228,2308
1748,黑执事II,5997,2062
1749,战国BASARA OVA,2931,233
1750,战国BASARA 贰,3143,780
1752,来来猫,600,278
1753,圣斗士星矢 THE LOST CANVAS 冥王神话,1301,713
1925,死神剧场版 无人的回忆,4255,601
1926,圣枪修女,991,1020
1924,死神剧场版 钻石星尘的反叛 另一个冰轮丸,5388,697
1757,公主恋人！,6376,1507
1758,青之花,1170,1139
1759,交响诗篇 彩虹满载,3101,747
1760,夏娃的时间,425,2449
1761,元素猎人,6204,85
1763,创圣的大天使,5183,756
1764,浪漫追星社,2568,708
1772,狂乱家族日记,3571,330
1773,死亡笔记,54,13095
1774,2077日本锁国,5048,391
